,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
89367,L'enfer,Stromae,0.4,0.547,-16.490662516674078,0.177,0.33,0.606,Europe,1CsuHmKOfCYxPoO4xjlAWV,https://open.spotify.com/track/1CsuHmKOfCYxPoO4xjlAWV
89482,you broke me first,Tate McRae,0.667,0.373,-18.17140951534015,0.05,0.785,0.082,Anglo-America,45bE4HXI0AwGZXfZtMp8JR,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
89560,It'll Be Okay,Shawn Mendes,0.398,0.286,-22.326589595375722,0.033,0.616,0.067,Anglo-America,2KnLkZ3z7PO3kgVGHGqDpD,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
89627,Sehnsucht,"Miksu / Macloud, T-Low",0.804,0.645,-14.303023566029346,0.077,0.642,0.912,Europe,1W1N3usYjgI3XGQA0iX9Vq,https://open.spotify.com/track/1W1N3usYjgI3XGQA0iX9Vq
89765,Jocelyn Flores,XXXTENTACION,0.872,0.391,-17.762894619831037,0.242,0.469,0.437,Anglo-America,7m9OqQk4RVRkw9JJdeAw96,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
89892,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",0.743,0.655,-10.878168074699865,0.159,0.114,0.785,Latin-America,05bfbizlM5AX6Mf1RRyMho,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
89894,Astrout In The Ocean,Masked Wolf,0.778,0.695,-13.962872387727877,0.091,0.175,0.472,Oceania,6E90gq0KO6FYZVOXx8kCcC,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
89936,Entre Nosotros (Remix) [con Nicki Nicole],"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",0.7,0.438,-12.160404624277454,0.043,0.401,0.605,Latin-America,4TGwERXRlyQtBdggYTHo6j,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
89976,Ley Seca,"Jhay Cortez, Anuel AA",0.759,0.842,-8.78223654957759,0.096,0.101,0.584,Latin-America,3JCaq3KDSROg3TXhdiDa9n,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
90034,showdown,shadowraze,0.714,0.63,-21.02100933748332,0.129,0.036,0.378,Anglo-America,48fzAdCxamFYCHNXXLk6zn,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn
90065,Toma Toma Vapo Vapo,"Zé Felipe, Mc Danny",0.763,0.859,-2.5216207203201435,0.048,0.322,0.813,Latin-America,5VTjBl3ddZEiG2LrH4VzyR,https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
90135,Fils de joie,Stromae,0.547,0.638,-15.503557136505115,0.25,0.46,0.882,Europe,6w2jx3gzQAtoKP22czcANv,https://open.spotify.com/track/6w2jx3gzQAtoKP22czcANv
90161,Invaincu,Stromae,0.552,0.728,-16.23721654068475,0.113,0.027,0.248,Europe,2GiZ3sC2p1Cc2t2gbdMKsN,https://open.spotify.com/track/2GiZ3sC2p1Cc2t2gbdMKsN
90169,Last Call,Khalid,0.553,0.727,-14.029568697198755,0.035,0.025,0.286,Anglo-America,7k0wVBW3cvV6Xmb87JikIf,https://open.spotify.com/track/7k0wVBW3cvV6Xmb87JikIf
90222,Santé,Stromae,0.795,0.67,-13.212538906180527,0.332,0.135,0.844,Europe,3Mcxi78U3lCjt8DMKa6YY4,https://open.spotify.com/track/3Mcxi78U3lCjt8DMKa6YY4
90308,City of Gods,"Fivio Foreign, Kanye West, Alicia Keys",0.474,0.801,-12.483881725211205,0.375,0.102,0.497,Anglo-America,4huBDGP4I3S0pYI0EaRN1c,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
90352,Hrs & Hrs,Muni Long,0.511,0.525,-10.177856825255674,0.183,0.604,0.661,Anglo-America,3xRH6FPVtheDyNla3T1FE7,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
90489,Alien Blues,Vundabar,0.467,0.757,-11.008225878168076,0.033,0.081,0.433,Anglo-America,11iIikXxC6NP0Ma8vMD27x,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
90509,Cigarettes,Juice WRLD,0.587,0.614,-13.09415295686972,0.044,0.031,0.451,Anglo-America,1kBMIYqe0ILRUJZ7K2PV0k,https://open.spotify.com/track/1kBMIYqe0ILRUJZ7K2PV0k
90576,Lost,Frank Ocean,0.912,0.594,-10.676411738550463,0.226,0.032,0.514,Anglo-America,1bjhYUwKUHEg5fHknxFObO,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
90708,Cigarettes,Juice WRLD,0.597,0.615,-13.097487772343264,0.042,0.03,0.467,Anglo-America,42Xba467wgGvYrR2EE6s0i,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
90808,Parada Louca,"Mari Ferndez, Marcynho Sensação",0.693,0.936,-4.720431302801245,0.052,0.302,0.835,Latin-America,72g37RoelSnovZakG5MwnF,https://open.spotify.com/track/72g37RoelSnovZakG5MwnF
91094,Ameaça,"Paulo Pires, Mc Danny, Marcynho Sensação",0.644,0.938,-8.59048465984882,0.06,0.216,0.748,Europe,4fSHADbZbhpZCT9oJpxwbP,https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP
91131,Dos Oruguitas,Sebastian Yatra,0.423,0.355,-20.132281013783903,0.045,0.761,0.465,Latin-America,5rohUzwEoRsUvAA1Bf3DLo,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
91138,Eu Já Tava Bem - Ao Vivo,Wesley Safadão,0.63,0.844,-14.62983548243664,0.037,0.27,0.932,Latin-America,5lCAtKxkZL6tFDyGX9t87j,https://open.spotify.com/track/5lCAtKxkZL6tFDyGX9t87j
91147,GALOPA,PEDRO SAMPAIO,0.763,0.85,-9.245775900400176,0.041,0.285,0.77,Latin-America,3gK5ckT0cq3t5enyqzzRgV,https://open.spotify.com/track/3gK5ckT0cq3t5enyqzzRgV
91202,Não Vou Te Bloquear - Ao vivo,"Mc Don Juan, Tarcísio do Acordeon, DG e Batidão Stronda",0.74,0.747,-9.76100489106269,0.094,0.078,0.781,Latin-America,5yRgMxdDhdYlbUQNCOlW3o,https://open.spotify.com/track/5yRgMxdDhdYlbUQNCOlW3o
91212,Pandora,"DJ Matt D, Menor MC, MC GP, Vulgo FK",0.688,0.458,-17.752890173410407,0.588,0.14,0.559,Latin-America,0yL7K9MzC20uBesZTPY81r,https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r
91256,The Next Episode,"Dr. Dre, Snoop Dogg",0.922,0.909,-6.566251667407734,0.27,0.028,0.309,Anglo-America,4LwU4Vp6od3Sb08CsP99GC,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
91274,What Else Can I Do?,"Diane Guerrero, Stephanie Beatriz",0.718,0.709,-11.800244553134732,0.039,0.258,0.54,Anglo-America,3XoYqtiWHhsk59frZupImG,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
91302,Black Lança (Catucando Gostosinho),"MC Teteu, Dj Serpinha",0.939,0.582,-8.42707870164518,0.138,0.11,0.418,Latin-America,3qmdfYpfvKRIXmWaLllHZ3,https://open.spotify.com/track/3qmdfYpfvKRIXmWaLllHZ3
91368,LA FAMA,"ROSALÍA, The Weeknd",0.77,0.302,-15.706980880391285,0.047,0.946,0.821,Europe,6dmXZ9B5HdFAyzHeTneYBK,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
91490,AHHH HA,Lil Durk,0.676,0.61,-17.831258337038683,0.273,0.0,0.519,Anglo-America,54VFhe501kUbDYj2OrueMp,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
91491,All For Us - from the HBO Origil Series Euphoria,"Labrinth, Zendaya",0.348,0.652,-14.429746554024007,0.093,0.017,0.172,Europe,10hMM5nsZQf66ldBlgWBfG,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
91511,CHICKEN TERIYAKI,ROSALÍA,0.788,0.4,-13.277567807914629,0.115,0.454,0.558,Europe,3jHYDEB0YUNJCSEMF2um60,https://open.spotify.com/track/3jHYDEB0YUNJCSEMF2um60
91521,Dancing Feet (feat. DNCE),"Kygo, DNCE",0.75,0.797,-10.563028012449976,0.118,0.293,0.523,Europe,4RAR8g8fZNB106ezUurnE0,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
91565,King,Florence + The Machine,0.73,0.445,-16.482325477990216,0.045,0.142,0.075,Europe,1VSngtLdJhrlfHkLxTyOXK,https://open.spotify.com/track/1VSngtLdJhrlfHkLxTyOXK
91670,Vai Lá Em Casa Hoje,"George Henrique & Rodrigo, Marília Mendonça",0.456,0.83,-8.595486883059138,0.281,0.53,0.619,Latin-America,1c4htMHiolERc0YJvZNdlc,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
91821,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",0.87,0.523,-15.942085371276121,0.06,0.433,0.319,Africa,09gysnJpfQ3ublBmJDfcEC,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
91832,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",0.627,0.618,-16.737438861716313,0.044,0.056,0.848,Anglo-America,7sMBvZCSUl99bJLXZaLa0b,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
91845,Super Gremlin,Kodak Black,0.825,0.414,-13.577701200533568,0.144,0.003,0.106,Anglo-America,4A8cWXxKfIL3lAyUDzXbCF,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
92155,I WANNA BE YOUR SLAVE,Måneskin,0.75,0.608,-9.199088483770566,0.039,0.002,0.958,Europe,4pt5fDVTg5GhEvEtlz9dKk,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
92370,Life Goes On,Oliver Tree,0.7,0.49,-11.164962205424636,0.076,0.186,0.569,Anglo-America,0eu4C55hL6x29mmeAjytzC,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
92495,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Anirudh Ravichander, Jonita Gandhi",0.608,0.757,-14.096265006669626,0.164,0.259,0.625,Asia,6yvxu91deFKt3X1QoV6qMv,https://open.spotify.com/track/6yvxu91deFKt3X1QoV6qMv
92698,Arranhão - Ao Vivo,Henrique & Juliano,0.486,0.871,-8.588817252112051,0.258,0.617,0.663,Latin-America,3IMLoeLerS7TMpKjxUgAhx,https://open.spotify.com/track/3IMLoeLerS7TMpKjxUgAhx
92711,California Love - Origil Version,"2Pac, Roger, Dr. Dre",0.763,0.85,-7.605046687416625,0.042,0.03,0.761,Anglo-America,3ia3dJETSOllPsv3LJkE35,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
92736,Ella - Remix,"Boza, Luy, Lenny Tavárez, Juhn, Beéle",0.747,0.812,-9.642618941751891,0.111,0.341,0.884,Latin-America,7iHHlCbsFou5DZSW5HCPfs,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
92821,Qué Más Pues?,"J Balvin, Maria Becerra",0.903,0.817,-9.139061805246776,0.095,0.027,0.732,Latin-America,6D2TCm4nf5nxAcdGJ7w3QP,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
92897,Bad Habits (feat. Bring Me The Horizon),"Ed Sheeran, Bring Me The Horizon",0.59,0.849,-10.337927967985777,0.079,0.031,0.178,Europe,7vrKEP66NdiQDPryPG6olO,https://open.spotify.com/track/7vrKEP66NdiQDPryPG6olO
92945,Geççek,Tarkan,0.671,0.835,-10.60638061360605,0.237,0.075,0.714,Europe,7qT1uoiwvXEHSjaiHbw0n1,https://open.spotify.com/track/7qT1uoiwvXEHSjaiHbw0n1
92983,Love's Train,"Bruno Mars, Anderson .Paak, Silk Sonic",0.711,0.605,-18.858381502890175,0.031,0.04,0.807,Anglo-America,60gTdTwaNtGAzIxKfeGVfJ,https://open.spotify.com/track/60gTdTwaNtGAzIxKfeGVfJ
93033,Si Estuviésemos Juntos,Bad Bunny,0.672,0.594,-13.876167185415738,0.079,0.063,0.158,Latin-America,35wvL50xvKpCHEJPxLOLPI,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
93126,Do We Have A Problem?,"Nicki Minaj, Lil Baby",0.842,0.505,-16.900844819919968,0.402,0.472,0.538,Anglo-America,1PNs0uGru3TcrA94kpyGnc,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
93310,Christmas Tree,V,0.437,0.384,-16.49566473988439,0.042,0.699,0.181,Asia,186NCtNk1tUYS7c2DxgJ7O,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
93343,Forgot About Dre,"Dr. Dre, Eminem",0.924,0.74,-4.682080924855491,0.077,0.083,0.621,Anglo-America,7iXF2W9vKmDoGAhlHdpyIa,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
93506,Bussin,"Nicki Minaj, Lil Baby",0.893,0.699,-15.953757225433527,0.052,0.058,0.747,Anglo-America,7lcI4X8RZxK4zIknJcwpBq,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
93750,Gospel (with Eminem),"Dr. Dre, Eminem",0.919,0.869,-9.921076033792794,0.232,0.103,0.655,Anglo-America,3a2jFwnts4Cf0OwJbK61SL,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
93860,Thinking out Loud,Ed Sheeran,0.781,0.445,-12.622276567363272,0.03,0.474,0.591,Europe,1Slwb6dOYkBlWal1PGtnNg,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
93879,Worst Day,Future,0.646,0.597,-12.595598043574924,0.401,0.11,0.6,Anglo-America,70pwY1UfPmSVE3ybPjFy0p,https://open.spotify.com/track/70pwY1UfPmSVE3ybPjFy0p
94033,Sky Rompiendo,Playboi Carti,0.785,0.903,-9.492552245442418,0.21,0.258,0.565,Anglo-America,29TPjc8wxfz4XMn21O7VsZ,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
94071,WA DA DA,Kep1er,0.785,0.907,-6.946420631391732,0.094,0.001,0.685,Asia,0hQNbQKW2dDATH1ngj4TI6,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
94112,Cúrame,Rauw Alejandro,0.765,0.625,-8.517118719430862,0.055,0.584,0.262,Latin-America,1FlL8ycld6uVDDyhV7P5FA,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
94208,Ovunque Sarai,Irama,0.359,0.434,-12.633948421520671,0.031,0.582,0.325,Europe,0hluyTCTSua59xYuIRqpe5,https://open.spotify.com/track/0hluyTCTSua59xYuIRqpe5
94235,Si Veo a Tu Mamá,Bad Bunny,0.9,0.603,-11.375055580257893,0.065,0.402,0.824,Latin-America,41wtwzCZkXwpnakmwJ239F,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
94273,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",0.803,0.597,-12.578923966207206,0.141,0.001,0.331,Anglo-America,0k1WUmIRnG3xU6fvvDVfRG,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
94311,Celebrity Skin,Doja Cat,0.475,0.885,-10.411293908403735,0.053,0.0,0.413,Anglo-America,66bLKGXOk3kPWWHP7Tbrki,https://open.spotify.com/track/66bLKGXOk3kPWWHP7Tbrki
94327,Doja,"$NOT, A$AP Rocky",0.753,0.777,-12.022009782125394,0.32,0.073,0.669,Anglo-America,3YFnfm9z8RmPFIZ7C16u4e,https://open.spotify.com/track/3YFnfm9z8RmPFIZ7C16u4e
94355,High,The Chainsmokers,0.601,0.787,-12.817363272565586,0.031,0.049,0.525,Anglo-America,3t4KHjd8uQpJJ2fa0fRIpR,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
94413,Pensando a lei,Shiva,0.79,0.68,-13.832814584259673,0.223,0.055,0.61,Europe,4Yi4RRhp3nfKR1FDbXlHBp,https://open.spotify.com/track/4Yi4RRhp3nfKR1FDbXlHBp
94501,Black Summer,Red Hot Chili Peppers,0.417,0.682,-10.97154290795909,0.03,0.027,0.351,Anglo-America,3a94TbZOxhkI9xuNwYL53b,https://open.spotify.com/track/3a94TbZOxhkI9xuNwYL53b
94524,Doja,"$NOT, A$AP Rocky",0.753,0.777,-12.022009782125394,0.32,0.073,0.669,Anglo-America,3zpGLSQ8QbbUnNjweWPLMD,https://open.spotify.com/track/3zpGLSQ8QbbUnNjweWPLMD
94533,emo girl (feat. WILLOW),"Machine Gun Kelly, WILLOW",0.41,0.881,-8.355380168963983,0.087,0.0,0.357,Anglo-America,2AAyBZmMVZSZfgzXRYJOWQ,https://open.spotify.com/track/2AAyBZmMVZSZfgzXRYJOWQ
94620,RAPSTAR,Polo G,0.789,0.536,-13.957870164517566,0.242,0.41,0.437,Anglo-America,18vXApRmJSgQ6wG2ll9AOg,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
94626,SAOKO,ROSALÍA,0.827,0.768,-12.023677189862163,0.265,0.79,0.734,Europe,2J3oaXTqKjGGHCOQLeBnBA,https://open.spotify.com/track/2J3oaXTqKjGGHCOQLeBnBA
94725,Don't Play That,"King Von, 21 Savage",0.947,0.605,-16.890840373499337,0.346,0.075,0.656,Anglo-America,6BczFLHW9aIf9aWn5NFuNL,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
94909,Ciao Ciao,La rappresentante di lista,0.747,0.819,-10.189528679413073,0.134,0.125,0.637,Europe,0jLeyuu6mtsD384054xLah,https://open.spotify.com/track/0jLeyuu6mtsD384054xLah
94943,Fingers Crossed,Lauren Spencer Smith,0.603,0.473,-2.528173632725661,0.051,0.616,0.446,Anglo-America,5S9Zs5g9lTWnLIboN1pdlU,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
94966,Is There Someone Else?,The Weeknd,0.702,0.586,-2.5291740773677205,0.031,0.039,0.608,Anglo-America,0mL82sxCRjrs3br407IdJh,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
95060,The Rumbling (TV Size),SiM,0.408,0.875,-5.077256558470431,0.055,0.0,0.646,Asia,0KCSJzsQVxkloxoT7dyrqV,https://open.spotify.com/track/0KCSJzsQVxkloxoT7dyrqV
95129,Dove Si Balla,Dargen D'Amico,0.592,0.603,-11.525122276567359,0.093,0.176,0.437,Europe,3FVa0R2evbgjVOd3bejudr,https://open.spotify.com/track/3FVa0R2evbgjVOd3bejudr
95141,farfalle,sangiovanni,0.733,0.784,-11.204979991107159,0.061,0.093,0.377,Europe,5HujDMiRNqZwEzVAh3oFD3,https://open.spotify.com/track/5HujDMiRNqZwEzVAh3oFD3
95165,INSUPERABILE,Rkomi,0.667,0.848,-11.17830146731881,0.085,0.034,0.84,Europe,0GsZZWhBMIQXAmPYPJ3PRQ,https://open.spotify.com/track/0GsZZWhBMIQXAmPYPJ3PRQ
95168,Jetlag (feat. The Plug),"Malik Monta, DaChoyce, SRNO, The Plug",0.823,0.514,-14.369719875500223,0.333,0.117,0.521,Latin-America,2jG3STVcZ9fjYlhXPi7nJ1,https://open.spotify.com/track/2jG3STVcZ9fjYlhXPi7nJ1
95183,Love Grows (Where My Rosemary Goes),Edison Lighthouse,0.568,0.824,-10.207870164517566,0.03,0.403,0.753,Europe,5Ts1DYOuouQLgzTaisxWYh,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
95208,O Forse Sei Tu,Elisa,0.505,0.566,-11.985326811916408,0.034,0.43,0.118,Europe,6KmAKMya9pOL5RUl0FS46a,https://open.spotify.com/track/6KmAKMya9pOL5RUl0FS46a
95363,"I'm Tired - From ""Euphoria"" An Origil HBO Series",Labrinth,0.282,0.203,-19.9305246776345,0.031,0.187,0.263,Europe,2QH0jR41d11GTubjRSRdJo,https://open.spotify.com/track/2QH0jR41d11GTubjRSRdJo
95472,Waiting On A Miracle,Stephanie Beatriz,0.48,0.554,-16.097154290795913,0.069,0.171,0.267,Latin-America,3oRW9ZGPRbLRMneQ5lwflt,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
95509,Boys Don't Cry,Anitta,0.589,0.842,-2.524221876389511,0.037,0.002,0.657,Latin-America,35COLcFjvONwVv6jkG23gI,https://open.spotify.com/track/35COLcFjvONwVv6jkG23gI
95622,Presepada,"Marília Mendonça, Maiara & Maraisa",0.606,0.733,-2.523554913294795,0.175,0.368,0.672,Latin-America,3YvE7uo4ffseBoJPh8IhHp,https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp
95731,Down Under (feat. Colin Hay),"Luude, Colin Hay",0.308,0.861,-9.372498888394844,0.172,0.012,0.039,Oceania,7AVyve7cFYTd51ha5i9kE2,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
95931,ELEVEN,IVE,0.828,0.731,-7.573365940417965,0.111,0.062,0.587,Asia,7n2FZQsaLb7ZRfRPfEeIvr,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
95933,Enemy - From the series Arcane League of Legends,"Imagine Dragons, Arcane, League of Legends",0.722,0.745,-9.459204090706976,0.256,0.247,0.52,Anglo-America,5UlnuulVAVmmesw4VzqHdG,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
95934,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",0.728,0.783,-9.89273010226767,0.266,0.237,0.555,Anglo-America,1r9xUipOqoNwggBpENDsvJ,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
96132,Enchanted,Taylor Swift,0.535,0.618,-9.040684748777238,0.027,0.072,0.228,Anglo-America,04S1pkp1VaIqjg8zZqknR5,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
96698,Bar,"TINI, L-Gante",0.523,0.691,-8.855602489995547,0.083,0.133,0.677,Latin-America,0lJE8f0lx8mUSfMyxeYpiC,https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
96746,GALOPA,PEDRO SAMPAIO,0.763,0.85,-9.245775900400176,0.041,0.285,0.77,Latin-America,2wG1R0uDFwyobcWzVssC1J,https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J
96968,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",0.856,0.618,-10.673076923076927,0.286,0.03,0.391,Latin-America,2XIc1pqjXV3Cr2BQUGNBck,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
96988,Miénteme,"TINI, Maria Becerra",0.85,0.541,-10.056136060471324,0.067,0.161,0.916,Latin-America,0cOa970mzTWAxKtltpkpLc,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
97008,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones",0.787,0.833,-9.857714539795467,0.048,0.018,0.796,Europe,6Dy1jexKYriXAVG6evyUTJ,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
97011,Pareja Del Año,"Sebastian Yatra, Myke Towers",0.715,0.611,-11.009893285904845,0.052,0.176,0.776,Latin-America,655JkvIwu2rDCaD1hPf04g,https://open.spotify.com/track/655JkvIwu2rDCaD1hPf04g
97067,vice city,XXXTENTACION,0.853,0.467,-13.926189417518898,0.195,0.006,0.329,Anglo-America,6MOst484piqXpzPPRRe8i5,https://open.spotify.com/track/6MOst484piqXpzPPRRe8i5
97099,Beg for You (feat. Ri Sawayama),"Charli XCX, Ri Sawayama",0.788,0.945,-11.004891062694533,0.06,0.223,0.466,Europe,50ZFpw2wS6ERvLmW8TINhq,https://open.spotify.com/track/50ZFpw2wS6ERvLmW8TINhq
97130,Eazy,"The Game, Kanye West",0.716,0.551,-14.166296131614047,0.47,0.167,0.305,Anglo-America,6Ab81Bs9fcOwaTYuBsUUpI,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
97131,edamame (feat. Rich Brian),bbno$,0.815,0.849,-10.359604268563807,0.114,0.023,0.685,Anglo-America,5rW7qTn83sCKtqBoneJs63,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
97449,Tacones Rojos,Sebastian Yatra,0.748,0.856,-8.380391285015563,0.035,0.082,0.927,Latin-America,0Be7sopyKMv8Y8npsUkax2,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
97471,Watercolor Eyes - From â€œEuphoriaâ€ An HBO Origil Series,Lana Del Rey,0.444,0.26,-19.265228990662514,0.032,0.964,0.121,Anglo-America,1G1R0XgChe18Zr1o6tlmN6,https://open.spotify.com/track/1G1R0XgChe18Zr1o6tlmN6
97645,Surface Pressure,Jessica Darrow,0.65,0.584,-16.332258781680743,0.307,0.017,0.37,Anglo-America,760jhRscwGbIIe1m1IIQpU,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
97654,The Feels,TWICE,0.808,0.903,-6.149399733214764,0.073,0.09,0.922,Asia,1qE8DOtw7zdXHMgZm20eLM,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
97772,Less Than Zero,The Weeknd,0.535,0.791,-2.5253723877278844,0.033,0.001,0.5,Anglo-America,2D4dV2KXDTszzJ3p3cFqhA,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
97818,pushin P (feat. Young Thug),"Gun, Future, Young Thug",0.773,0.422,-10.13950644730992,0.187,0.008,0.488,Europe,3LnpBazWpD31QMTn6LgVGv,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
97913,DANCE CRIP,Trueno,0.857,0.766,-8.683859493108045,0.098,0.108,0.864,Latin-America,1kjs5eR4DMzyB0gm1Z8waV,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
97947,Gasoline,The Weeknd,0.728,0.741,-14.313028012449976,0.047,0.001,0.31,Anglo-America,3KyKxJ4P3pVCgaZwaq2rUC,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
98240,Srivalli,"Devi Sri Prasad, Sid Sriram",0.82,0.581,-11.945309026233879,0.044,0.494,0.681,Asia,2YmXGUx32C3CUEgcAyHcGf,https://open.spotify.com/track/2YmXGUx32C3CUEgcAyHcGf
98355,How Do I Make You Love Me?,The Weeknd,0.805,0.498,-15.73365940417964,0.074,0.02,0.636,Anglo-America,2Ghp894n1laIf2w98VeAOJ,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
98406,Overpass Graffiti,Ed Sheeran,0.52,0.849,-8.84226322810138,0.186,0.003,0.774,Europe,4btFHqumCO31GksfuBLLv3,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
98409,Pareja Del Año,"Sebastian Yatra, Myke Towers",0.715,0.622,-11.023232547799026,0.046,0.163,0.808,Latin-America,2rCbl9naJYhaxjLsfx88uM,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
98457,thought it was (feat. Machine Gun Kelly & Travis Barker),"iann dior, Travis Barker, Machine Gun Kelly",0.695,0.504,-2.5262727879057323,0.03,0.147,0.197,Anglo-America,36uNbyvWCUwSk3AnpQmu2I,https://open.spotify.com/track/36uNbyvWCUwSk3AnpQmu2I
98497,Bat Out of Hell,Meat Loaf,0.204,0.837,-15.218430413517119,0.068,0.281,0.392,Anglo-America,0VafPclbphrwh36WraHWws,https://open.spotify.com/track/0VafPclbphrwh36WraHWws
98561,I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,0.419,0.672,-13.109159626500663,0.092,0.623,0.304,Anglo-America,391CwgcBxvUHmEKda2b5In,https://open.spotify.com/track/391CwgcBxvUHmEKda2b5In
98566,Jigsaw,Conan Gray,0.273,0.517,-12.275455758114717,0.031,0.08,0.16,Anglo-America,1WzOonguDKuWQrTTf5yR0D,https://open.spotify.com/track/1WzOonguDKuWQrTTf5yR0D
