,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
27,Boy's a Liar Pt. 2,"PinkPantheress, Ice Spice",0.696,0.809,-16.278901734104046,0.05,0.252,0.857,Europe,6AQbmUe0Qwf5PZnt4HmTXv,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
28,Say Yes To Heaven,Lana Del Rey,0.49,0.352,-21.819697643397063,0.025,0.709,0.166,Anglo-America,6GGtHZgBycCgGBUhZo81xe,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe
29,Cruel Summer,Taylor Swift,0.552,0.702,-12.032014228546025,0.157,0.117,0.564,Anglo-America,1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
30,I'm Good (Blue),"David Guetta, Bebe Rexha",0.561,0.965,-8.64050689195198,0.034,0.004,0.304,Europe,4uUG5RXrOk84mYEfFvj3cK,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
31,Here With Me,d4vd,0.574,0.469,-16.203868385949306,0.025,0.534,0.288,Anglo-America,78Sw5GDo6AlGwTwanjXbGh,https://open.spotify.com/track/78Sw5GDo6AlGwTwanjXbGh
32,Hits Different,Taylor Swift,0.672,0.782,-13.352601156069369,0.042,0.148,0.239,Anglo-America,3xYJScVfxByb61dYHTwiby,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby
33,PRC,"Peso Pluma, Natanael Cano",0.784,0.826,-2.5266896398399226,0.054,0.097,0.893,Latin-America,2mpoNBkngUEwnaKoBhZ0vl,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl
34,People,Libianca,0.573,0.422,-15.22343263672743,0.068,0.551,0.693,Anglo-America,26b3oVLrRUaaybJulow9kz,https://open.spotify.com/track/26b3oVLrRUaaybJulow9kz
35,I Ain't Worried,OneRepublic,0.697,0.802,-13.207536682970208,0.046,0.099,0.822,Anglo-America,4fYte8ZvTK14NEhAOZocBi,https://open.spotify.com/track/4fYte8ZvTK14NEhAOZocBi
36,Dance The Night (From Barbie The Album),Dua Lipa,0.671,0.845,-2.5243385949310806,0.048,0.021,0.775,Europe,1vYXt7VSjH9JIM5oRRo7vA,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
37,Moonlight,Kali Uchis,0.642,0.706,-13.974544241885283,0.052,0.518,0.896,Latin-America,0JmnkIqdlnUzPaf8sqBRs3,https://open.spotify.com/track/0JmnkIqdlnUzPaf8sqBRs3
38,Tattoo,Loreen,0.545,0.779,-12.91240551356158,0.075,0.243,0.303,Europe,1DmW5Ep6ywYwxc2HMT5BG6,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6
39,Another Love,Tom Odell,0.442,0.538,-2.530374610938196,0.045,0.717,0.139,Europe,7jtQIBanIiJOMS6RyCx6jZ,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
40,golden hour,JVKE,0.515,0.593,-10.521342819030686,0.032,0.653,0.153,Anglo-America,5odlY52u43F5BjByhxg7wg,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg
41,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",0.551,0.55,-11.418408181413966,0.029,0.777,0.342,Anglo-America,1Y3LN4zO1Edc2EluIoSPJN,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN
42,Starboy,"The Weeknd, Daft Punk",0.679,0.587,-14.212983548243663,0.276,0.141,0.486,Anglo-America,7MXVkk9YMctZqd1Srtv4MB,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
43,Like Crazy,Jimin,0.629,0.733,-11.59515340151178,0.042,0.003,0.362,Asia,3Ua0m0YmEjrMi9XErKcNiR,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR
44,AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",0.772,0.73,-13.616051578479329,0.097,0.152,0.786,Latin-America,1lRtH4FszTrwwlK5gTSbXO,https://open.spotify.com/track/1lRtH4FszTrwwlK5gTSbXO
45,Yellow,Coldplay,0.429,0.661,-14.566473988439306,0.028,0.002,0.285,Europe,3AJwUDP919kvQ9QcozQPxg,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
46,Por las Noches,Peso Pluma,0.807,0.595,-2.5281069364161937,0.033,0.31,0.392,Latin-America,2VzCjpKvPB1l1tqLndtAQa,https://open.spotify.com/track/2VzCjpKvPB1l1tqLndtAQa
47,La Bachata,Manuel Turizo,0.835,0.679,-11.401734104046241,0.036,0.583,0.85,Latin-America,3tt9i3Hhzq84dPS8H7iSiJ,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ
48,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",0.712,0.463,-14.85326811916407,0.08,0.011,0.206,Europe,0NZPBYD5qbEWRs3PrGiRkT,https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT
49,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap, Shakira",0.778,0.632,-2.525455758114717,0.049,0.274,0.498,Latin-America,4nrPB8O7Y7wsOCJdgXkthe,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe
